행정구역별(시도),연도,내국인,국적가진 외국인,국적 없는 외국인,중국,중국(한국계),대만,일본,몽골,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,스리랑카,파키스탄,방글라데시,네팔,우즈베키스탄,카자흐스탄,러시아,미국,캐나다,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간·강제추행등,방화,상해,폭행,체포・감금,협박,약취・유인,폭력행위등,공갈,손괴
광주광역시,2020,1465507,"40,715","30,573","4,611","2,370",200,335,771,"5,929",918,"3,604",535,"1,095",349,362,329,134,406,"2,988","1,338",912,710,137,7,3,24,158,19,390,12,16,822,"4,252",30,484,4,243,90,"1,435"
대전광역시,2020,1447000,"32,302","22,928","4,719","2,371",290,345,709,"4,417",620,"2,512",366,328,115,121,261,227,304,644,373,288,"1,539",329,9,9,14,180,25,449,8,38,867,"4,659",32,707,5,209,161,"1,632"
울산광역시,2020,1108528,"35,996","26,895","2,839","8,989",155,219,468,"4,043","1,089","2,886",624,676,383,735,228,130,408,790,287,258,471,100,6,6,14,103,18,320,4,31,944,"2,748",37,365,5,189,80,"1,155"
세종특별자치시,2020,346689,"9,382","7,244","1,011","1,236",40,79,96,"1,285",178,984,127,288,166,95,39,57,199,225,149,74,334,109,4,4,2,27,2,48,2,2,139,345,3,92,1,28,24,241
경기도,2020,12928214,"717,900","583,462","57,251","245,114","2,131","5,042","11,884","43,568","16,294","53,846","7,443","15,489","11,720","5,969","3,410","7,521","14,293","19,012","8,166","6,552","15,943","4,290",74,81,154,"1,159",184,"3,413",35,276,"6,258","36,197",294,"5,749",59,"1,663","1,201","15,313"
강원도,2020,1497109,"36,659","24,654","2,747","2,376",290,503,870,"5,003",818,"4,069",718,858,429,238,102,213,"1,333",771,310,507,"1,006",244,12,8,19,110,14,307,7,26,"1,057","2,790",24,513,2,183,84,"1,415"
충청북도,2020,1574994,"73,064","57,094","5,266","12,036",322,476,"1,698","7,398","1,950","7,464","1,050","1,957",908,"1,376",298,547,"2,519","4,133","1,232","1,246",721,191,16,15,34,245,28,635,15,57,"1,900","5,656",57,980,10,322,252,"2,877"
충청남도,2020,2077470,"123,430","99,166","8,643","24,040",399,"1,387","1,578","13,382","2,454","12,541","2,335","4,155","1,633","1,288",275,528,"4,524","6,176","3,618","2,081","1,304",274,6,22,36,185,24,433,10,42,"1,332","3,412",53,714,7,291,158,"2,168"
전라북도,2020,1760400,"61,316","42,366","6,306","3,517",282,635,"1,348","10,612","1,336","6,533",925,"1,868",845,841,250,450,"1,755","1,463",294,457,794,213,12,14,16,132,25,385,6,40,"1,034","3,948",34,446,4,291,157,"1,411"
전라남도,2020,1743571,"66,936","45,236","3,740","3,714",110,766,771,"10,983","1,696","7,920","2,338","2,650",856,"2,665",98,142,"1,920","1,398",356,499,632,151,10,6,12,112,22,300,5,33,974,"2,777",26,479,4,216,120,"1,269"
경상북도,2020,2570210,"98,566","74,547","5,904","6,508",259,629,"1,466","18,832","2,649","12,466","3,847","2,869","1,199","1,789",637,616,"2,686","3,750","1,849",998,"1,418",240,10,14,15,209,33,469,8,63,"1,712","4,726",45,728,5,353,212,"2,492"
경상남도,2020,3236387,"126,445","96,669","6,883","11,124",230,"1,063","1,270","19,719","3,430","15,004","6,074","4,204","2,096","2,930",974,809,"3,342","6,090","1,908","1,903","1,668",318,33,49,52,462,71,"1,098",19,129,"4,359","12,021",104,"1,791",15,819,595,"5,631"
제주특별자치도,2020,644027,"33,782","26,831","7,154","3,033",292,221,420,"3,890",613,"2,917","1,812",425,228,793,79,118,"1,234",136,137,97,"1,604",288,8,6,14,95,18,279,5,25,753,"2,579",19,471,6,147,83,"1,283"
